Classification,Category,Business,Address,City,Zip,ACCOUNT START DATE
JANITORIAL SERVICES,SERVICES,STELLAR CLEANING LLC,1205 TUPELO CT,JACKSONVILLE,72076,2/22/21
REAL ESTATE,REAL ESTATE,KELLER WILLIAMS REALTY,12814 CANTRELL RD,LITTLE ROCK,72223,3/17/09
REAL ESTATE,REAL ESTATE,DOYLE ROGERS,PO BOX A,BATESVILLE,72503,1/1/87
BEER PERMIT-RETAIL,PERMITS,MR. CHEN'S,3901 S UNIVERSITY AVE #7,LITTLE ROCK,72204,1/9/15
METAL PROCESSORS,SERVICES,UNISTRUT ARKANSAS,1915 E 17TH ST,LITTLE ROCK,72202,9/24/02
RETAIL INVENTORY OPERATIONS,SHOPPING,RETROGRADE: COMICS & OTHER ARTIFACTS,2612 KAVANAUGH BLVD #C,LITTLE ROCK,72205,6/25/19
JANITORIAL SERVICES,SERVICES,COLEMAN'S PRIDE,129 OAK ST,HAYNES,72341,4/26/21
MIXED DRINK PERMIT,PERMITS,BIG WHISKEYS,225 E MARKHAM ST,LITTLE ROCK,72201,1/14/09
TOBACCO PERMIT,PERMITS,VALERO ALKHAIR LLC,6500 MABELVALE CTF,LITTLE ROCK,72209,12/7/17
ADMINISTRATIVE OFFICE,SERVICES,JOHNSON HOLDING,7TH SOUTHMONT CIR,LITTLE ROCK,72209,1/21/20
"COMPUTER SERVICES, HOME BASED",SERVICES,DIVINE PC REPAIR PLUS DESKTOPSUPPORT,7909 MANN RD,LITTLE ROCK,72209,1/8/07
CRAFTS,SHOPPING,NOBLE NICOLE ESSENTIAL OILS,6421 W 3RD ST,LITTLE ROCK,72205,4/22/21
RESTAURANTS,FOOD - DRINK,ATTN: LICENSING DEPT,2 ST VINCENT CIR,LITTLE ROCK,72205,3/3/10
LIQUOR PERMIT-RETAIL,PERMITS,SPIRITS FINE WINES,2516 CANTRELL RD STE A,LITTLE ROCK,72202,4/11/14
"A/C & HTG DEALERS, SALES & INSTALLATION",CONSTRUCTION AND HOME SERVICES,ELITE SKILL HEATING & COOLINGLLC,9925 MEADOW LN,MABELVALE,72103,11/27/20
CATERING SERVICE,FOOD - DRINK,THE APPRECIATION COOKIE CO BYTINA,505 LASALLE DR,LITTLE ROCK,72211,9/24/20
RESTAURANTS,FOOD - DRINK,WENDY'S #20,10623 W MARKHAM ST,LITTLE ROCK,72211,7/6/95
CATERING SERVICE,FOOD - DRINK,ESHA'S TREATS LLC,22 CLOVER RIDGE DR,VILONIA,72173,1/6/21
CONTRACTORS - GENERAL BUILDING,CONSTRUCTION AND HOME SERVICES,M&M CONSTRUCTION & REMODELINGLLC,1319 N 10TH ST LT 22,ARKADELPHIA,71923,7/25/19
DANCING SCHOOL,EDUCATION,ROYAL DYNAMIC STEPPAZ DANCE STUDIO,8925 GARDNER RD STE E,LITTLE ROCK,72209,11/18/20
SPORTING GOODS COMPANIES,SHOPPING,THE TENNIS SHOPPE,8218 CANTRELL RD,LITTLE ROCK,72227,4/22/21
CONSULTANTS,PROFESSIONALS,HURD DENTAL PLLC,99 RANCH RIDGE RD,LITTLE ROCK,72223,2/28/14
BEER PERMIT-RETAIL,PERMITS,LEE'S MART INC,800 E 6TH ST,LITTLE ROCK,72202,3/5/03
CONSULTANTS,PROFESSIONALS,LATHROP INVESTMENT MANAGEMENTCORP,10 CORPORATE HILL DR STE 225,LITTLE ROCK,72205,1/1/87
FUNERAL DIRECTORS AND/OR UNDERTAKERS,SERVICES,RUFFIN & JARRETT FUNERAL HOMEINC,1200 S CHESTER ST,LITTLE ROCK,72202,1/1/87
CONTRACTORS - GENERAL BUILDING,CONSTRUCTION AND HOME SERVICES,SECURE SERVICES INC CERTA PROOF CENTRAL ARKANSAS,13501 KANIS RD,LITTLE ROCK,72211,1/5/10
WAREHOUSE KEEPERS/MINI STORAGE,SERVICES,ARKANSAS WAREHOUSE & TRANSFERLLC,6200 PATTERSON RD,LITTLE ROCK,72209,2/10/21
TOBACCO PERMIT,PERMITS,HILLCREST LIQUOR & FINE WINESINC,2814 KAVANAUGH BLVD # B,LITTLE ROCK,72205,1/1/87
"LABORATORIES - X-RAY, TESTING, ETC",HEALTH AND BEAUTY SERVICES,B.G. CLINICAL RESEARCH CENTERLLC,9601 BAPTIST HEALTH DR #240,LITTLE ROCK,72205,4/1/15
REAL ESTATE,REAL ESTATE,MURPHY-HOFFMAN JOINT VENTURESLP,11120 TOMAHAWK CREEK PKY,LEAWOOD,6621,12/2/16
RESTAURANTS,FOOD - DRINK,WENDY'S #2,11319 N RODNEY PARHAM RD,LITTLE ROCK,72212,7/6/95
VIDEO RENTALS AND SALES,RECREATION,REDBOX AUTOMATED RETAIL LLC (KROGER),8415 W MARKHAM ST,LITTLE ROCK,72205-2405,1/6/11
CONSULTANTS,PROFESSIONALS,LOVE YOUR HEALTHSSBENDER,8120 W MARKHAM ST APT 6,LITTLE ROCK,72205,1/26/21
ATTORNEYS,PROFESSIONALS,"LAX, VAUGHAN, FORTSON, ROWE &THREET PA",11300 CANTRELL RD STE 201,LITTLE ROCK,72212,1/25/90
CONTRACTORS - GENERAL BUILDING,CONSTRUCTION AND HOME SERVICES,LAURENCE SCHULTE CONSTRUCTIONCO INC,7905 FOXCHASE RD #A,LITTLE ROCK,72227,1/8/92
RETAIL INVENTORY OPERATIONS,SHOPPING,THE CHRISTIAN ELISE' BOUTIQUELLC,315 N BOWMAN RD STE 5,LITTLE ROCK,72211,8/26/20
RETAIL INVENTORY OPERATIONS,SHOPPING,DESIRENE AFRIK LLC,5919 H ST,LITTLE ROCK,72205,9/25/17
CONTRACTORS - GENERAL BUILDING,CONSTRUCTION AND HOME SERVICES,PHILLIPS PROPERTIES OF LITTLEROCK-CONTRACTORS,6204 SANDY LN,LITTLE ROCK,72204,11/13/14
"ACCOUNTANTS & AUDITORS, LICENSED",FINANCE - BANKING,BELL FOSTER JOHNSON & WATKINSLLP,5420 W MARKHAM ST,LITTLE ROCK,72205,10/7/08
CONTRACTOR - EXCAVATING,CONSTRUCTION AND HOME SERVICES,DYKON EXPLOSIVE DEMOLITION CORP,16849 S YALE AVE,BIXBY,74008,7/5/17
BROKERS,FINANCE - BANKING,WELLS FARGO CLEARING SERVICESLLC,1400 KIRK RD STE 200,LITTLE ROCK,72223,1/1/87
JANITORIAL SERVICES,SERVICES,AKERS WINDOW CLEAN,7201 RICHARDS LN,MABELVALE,72103,11/1/18
MOBILE CANTEEN,FOOD - DRINK,825FOODTRUCK,24 BRIDGESTONE DR,CONWAY,72032,12/31/20
ATTORNEYS,PROFESSIONALS,JAMES R. WALLACE & ASSOCIATESPLLC,212 CENTER ST #100,LITTLE ROCK,72201,1/1/87
DRESSMAKER/SEAMSTRESS,SERVICES,ELEGANT ALTERATIONS & DESIGNSINC,400 N BOWMAN RD #3,LITTLE ROCK,72211,10/22/07
ATTORNEYS,PROFESSIONALS,MICHAEL F. JONES ATTORNEY AT LAW,9020 CHICOT RD,LITTLE ROCK,72209,11/22/99
REAL ESTATE,REAL ESTATE,REAL AND ESTATE,2602 BARBER ST,LITTLE ROCK,72206,4/23/21
"KINDERGARTEN, DAYCARE OR NURSERY SCHOOL",EDUCATION,HAPPY HEARTS LEARNING ACADEMYII,3821 BASELINE RD,LITTLE ROCK,72209,9/12/19
RESTAURANTS,FOOD - DRINK,PIZZA HUT #4229,14710 CANTRELL RD,LITTLE ROCK,72212,4/23/21
RECYCLING COMPANIES,SERVICES,ESCO PROCESSING AND RECYCLINGLLC,1807 E 23RD ST,LITTLE ROCK,72206,4/1/13
BUILDING & PLUMBING MATERIALS/BRICK & TILE SALES,CONSTRUCTION AND HOME SERVICES,SHERWIN WILLIAMS #2725/UNITEDPAINT COMPANY,724 TOWNE OAKS DR,LITTLE ROCK,72207,3/22/96
MOBILE HOME PARKS,REAL ESTATE,PINNACLE PROPERTY INVESTMENTSLLC,5709 W 59TH ST,LITTLE ROCK,72209,1/28/08
INTERNET SALES,SHOPPING,CHRISTIAN EXPRESSIVE CREATIVE,5115 TIMERBLAND DR,LITTLE ROCK,72204,4/26/21
CONSULTANTS,PROFESSIONALS,TACTFUL MARKETING SOLUTIONS LLC,2 PINE BREEZE CV,LITTLE ROCK,72210,2/22/21
CONTRACTORS - GENERAL BUILDING,CONSTRUCTION AND HOME SERVICES,DEKSI CONSTRUCTION INC,22 S MEADOWCLIFF DR,LITTLE ROCK,72209,4/21/21
WAREHOUSE KEEPERS/MINI STORAGE,SERVICES,GOFF DISTRIBUTION & WAREHOUSECO,1801 E ROOSEVELT RD,LITTLE ROCK,72206,1/1/87
ADMINISTRATIVE OFFICE,SERVICES,CORRECT CARE SOLUTIONS LLC,4823 W 7TH ST,LITTLE ROCK,72201,2/28/14
ELECTRIC CONTRACTOR,CONSTRUCTION AND HOME SERVICES,"ACCURATE INSTALLATION, GRIFFOLLC",1868 IZARD ST,LITTLE ROCK,72206,1/8/19
AMUSEMENTS,RECREATION,AC STUDIO AND APPAREL INC,7600 S UNIVERSITY AVE #11-14,LITTLE ROCK,72209,4/21/21
CHIROPRACTORS,HEALTH AND BEAUTY SERVICES,THE JOINT CHIROPRACTIC,10121 N RODNEY PARHAM RD # B1,LITTLE ROCK,72227,4/20/21
