Property,Alternate Name,Description,Address,Historic District,Construction Date,the_geom,Longitude,Latitude,Photo,Images,Additional Information
"Parris, Fred W Towers",,"Fred W. Parris Towers, located at 1800 Broadway, is an example of the federally funded senior citizen housing projects of the late mid twentieth century as initiated by the Housing Act of 1956.  It was designed by Wittenberg, Delony, & Davidson. and was listed in the National Register of Historic Places on March 7, 2017.",1800  S Broadway,Governor's Mansion Historic District,1971,POINT (-92.279020857557 34.731489677458),-92.27902086,34.73148968,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1394/PU1394.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1394/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1394/PU1394_ai.pdf
Democrat Printing & Lithograph Co Building,,"This property was listed on the National Register of Historic places on 12/17/1998.  Sanders and Ginocchio’s designed the building without the superficial decoration with the exception of the entrances to the building.  It was built in 1924 of reinforced concrete and brick.  The business, Democrat Printing and Lithograph Company was formed in 1907.",114  E 2nd,,1924,POINT (-92.269562115996 34.747298939839),-92.26956212,34.74729894,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0176/PU0176.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0176/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0176/PU0176_ai.pdf
Pearson-Robinson House,House At 1900 Marshall Street,"The Pearson-Robinson House at 1900 Marshall Street, is an American Foursquare house.  It was built for Joseph T. Robinson, an accomplished politician.  Robinson was the first of five Arkansas governors to live in this house. Listed in the National Register of Historic Places in 7/24/1978, the Pearson-Robinson House was constructed in 1900.  The red brick, two and one-half story house features a hipped roof centered by a dormer, and a covered porch supported by square columns.",1900  S Marshall,Central High School Neighborhood Historic District,1900,POINT (-92.292077384659 34.730981343558),-92.29207738,34.73098134,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3101/PU3101.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3101/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3101/PU3101_ai.pdf
Bush-Dubisson House,Alpha House,"The Bush-Dubisson House, also known as the Alpha House, located at 1500 South Ringo Street, is a Prairie style house. Listed in the National Register of Historic Places in 12/22/1982, it was constructed by S. E. Wiggins in 1925 for Aldridge E. Bush.   This two-story brick home was house of social status in the black community of Little Rock, especially while Dan Dubisson’s family was living there.  The Bush-Dubisson House showed hospitality to African Americans, such as Mariah Anderson, who were banned from staying at the local hotels.",1500  S Ringo,,1925,POINT (-92.285261443706 34.735853074431),-92.28526144,34.73585307,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9826/PU9826.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9826/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9826/PU9826_ai.pdf
"Pike, Albert Hotel",,"The 175-room Albert Pike Hotel was erected in 1929. It was designed by architect, Eugene John Stern, in partnership with George R Mann, architect of the Arkansas State Capitol Building. The hotel is built in the Italian-Spanish Revival style of architecture and cost approximately $1,000,000 to construct. The structure was listed on the National Register of Historic Places on 11/21/1978.",701  S Scott,,1929,POINT (-92.26996552366 34.741682418256),-92.26996552,34.74168242,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3228/PU3228.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3228/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3228/PU3228_ai.pdf
Garland-Mitchell House,Augustus Garland House,"The Garland-Mitchell House, listed on the National Register 6/10/75, built in 1873 at what then constituted the outskirts of Little Rock at Scott and Fourteenth Streets, is an excellent example of the Italianate style ""Steamboat Gothic” architecture.  The home has housed two governors of Arkansas, Augustus Garland and Charles Brough. Augustus Garland is known for being a governor, senator and the first Arkansan to serve on a Presidential Cabinet.  William Starr Mitchell was a publisher of the Arkansas Democrat, in the real estate and insurance business, and appointed treasurer of the Federal Bank in St. Louis.",1404  S Scott,Macarthur Park Historic District,1873,POINT (-92.272036690661 34.734954846919),-92.27203669,34.73495485,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2938/PU2938.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2938/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2938/PU2938_ai.pdf
Cobblestone Alley,,"Block 35 Cobblestone Alley, located on west of the north end of Rock Street, is a 30 feet wide and 300 feet long street made of cobblestones. Listed in the National Register of Historic Places in 1/22/2009, it was constructed in 1889.  This alley is located in an urban area part of Little Rock and the alley still has its original stones.  It was originally built as an improvement to the roads for travel, but it is now a rare feature within the city of Little Rock.",Alley East of Ottenheimer Plaza,,1889,POINT (-92.267207196123 34.748193085735),-92.2672072,34.74819309,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8447/PU8447.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8447/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8447/PU8447_ai.pdf
Parnell Hall,,"Parnell Hall, located on the Arkansas School for the Deaf campus at 2400 West Markham Street, is an excellent example of a Classical Revival style structure.  Listed in the National Register of Historic Places in 1/28/2008, it was designed by architects Francis J. Erhart and Howard Eichenbaum and constructed in 1931 by the Carter Construction Company.  This two-and-one-half story brick building has been used as a gymnasium, chapel, auditorium, library, and classroom to educate the deaf community in Arkansas.  This buildings front entrance features a large portico supported by four large, limestone columns.",2400  W Markham,,1931,POINT (-92.298629934429 34.751795773504),-92.29862993,34.75179577,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5594/PU5594.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5594/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5594/PU5594_ai.pdf
Gustave B. Kleinschmidt House,,"The Kleinschmidt House at 621 e 16th Street is an example of the Colonial Revival style of architecture.  It was placed on the National Register of Historic Places on 6/7/2016.  It is a one and one-half story frame cottage, rectangular in plan, with a cross gabled hip roof. It is Queen Anne style in the asymmetrical aspects and Colonial Revival in detailing.  Mr. Kleinschmidt was a German immigrant, owner of a beer garden at 924 Rock street, and built many houses in this area.",621 E 16th Street,,1907,POINT (-92.26633435479 34.732327698396),-92.26633435,34.7323277,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU10023/PU10023.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU10023/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU10023/PU10023_ai.pdf
David O. Dodd Memorial,,The David O. Dodd Memorial is located at 300 W. Markham at the Old State House. It is a commemorative sculpture built in 1923 through veterans and other ancestral organizations. It was listed in the National Register of Historic Places on 04/26/1996. David O. Dodd was a soldier for the Confederate army during the Civil War. An event took place where Dodd could’ve chosen his life over honor. He chose honor and was found guilty of a crime and sentenced to death.,300 West Markham,,1923,POINT (-92.272921040594 34.748695978818),-92.27292104,34.74869598,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4847S/PU4847S.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4847S/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4847S/PU4847S_ai.pdf
