Category,EmploymentPct,Group,MeanHourlyWage
Management,5.5,US,58.88
Business and financial operations,5.6,US,37.56
Computer and mathematical,3.1,US,45.08
Architecture and engineering,1.8,US,42.69
"Life, physical, and social science",0.9,US,37.28
Community and social service,1.5,US,24.27
Legal,0.8,US,52.71
Educational instruction and library,6.1,US,27.75
"Arts, design, entertainment, sports, and media",1.4,US,29.79
Healthcare practitioners and technical,5.9,US,40.21
Healthcare support,4.4,US,14.91
Protective service,2.4,US,23.98
Food preparation and serving related,9.2,US,12.82
Building and grounds cleaning and maintenance,3,US,15.03
Personal care and service,2.2,US,15.03
Sales and related,9.8,US,20.7
Office and administrative support,13.3,US,19.73
"Farming, fishing, and forestry",0.3,US,15.07
Construction and extraction,4.2,US,25.28
"Installation, maintenance, and repair",3.9,US,24.1
Production,6.2,US,19.3
Transportation and material moving,8.5,US,18.23
Management,100,Little Rock,45.67
Business and financial operations,6.2,Little Rock,29.04
Computer and mathematical,6,Little Rock,34.08
Architecture and engineering,2.7,Little Rock,34.71
"Life, physical, and social science",1.3,Little Rock,28.4
Community and social service,0.7,Little Rock,21.54
Legal,1.3,Little Rock,35.65
Educational instruction and library,0.9,Little Rock,26.89
"Arts, design, entertainment, sports, and media",5.6,Little Rock,22.17
Healthcare practitioners and technical,1,Little Rock,34.68
Healthcare support,8.3,Little Rock,13.63
Protective service,4.2,Little Rock,19.27
Food preparation and serving related,2.5,Little Rock,11.08
Building and grounds cleaning and maintenance,9.1,Little Rock,12.45
Personal care and service,2.9,Little Rock,13.05
Sales and related,1.9,Little Rock,18.29
Office and administrative support,10.4,Little Rock,17.9
"Farming, fishing, and forestry",13.3,Little Rock,17.31
Construction and extraction,0.1,Little Rock,19.36
"Installation, maintenance, and repair",3.5,Little Rock,20.95
Production,4.7,Little Rock,17.25
Transportation and material moving,4.8,Little Rock,16.2
,8.6,Little Rock,
