Date,Year,Offense,Address,Zip,Latitude,Longitude
5/31/20 7:28,2020,RAPE,,,,
7/16/20 0:00,2020,RAPE,,,,
10/31/18 9:00,2018,RAPE,,,,
12/16/20 10:52,2020,RAPE,,,,
4/28/20 0:00,2020,RAPE,,,,
8/17/17 23:45,2017,ROBBERY,,,,
5/15/19 15:18,2019,RAPE,,,,
12/18/20 12:58,2020,RAPE,,,,
12/19/20 7:11,2020,BURGLARY/B&E,4318  WOODLAWN DR,72205,34.756564,-92.321467
12/15/20 23:23,2020,AGGRAVATED ASSAULT,2318 W 18TH ST,72206,34.73099,-92.288169
12/15/20 21:01,2020,ROBBERY,1201 S WOODROW ST,72204,34.739548,-92.305418
11/30/20 0:00,2020,AGGRAVATED ASSAULT,14 CLEMENT DR,72209,34.682507,-92.326372
12/16/20 10:58,2020,BURGLARY/B&E,2009 FAIR PARK BLVD,72103,34.733314,-92.334535
12/15/20 19:57,2020,AGGRAVATED ASSAULT,1400 S JACKSON ST,72205,34.744435,-92.381358
12/12/20 0:59,2020,ROBBERY,2 SAINT VINCENT CIR,72205,34.75039,-92.339235
12/17/20 18:42,2020,AGGRAVATED ASSAULT,55  ROSEMOOR DR,72209,34.70181,-92.327988
12/17/20 13:10,2020,ROBBERY,700 BROADWAY ST,72201,34.742662,-92.276663
12/20/20 18:43,2020,BURGLARY/B&E,9908  RAMONA DR,72209,34.659575,-92.338612
3/4/19 9:00,2019,RAPE,,,,
12/17/20 19:27,2020,BURGLARY/B&E,5601 S UNIVERSITY AVE,72209,34.698662,-92.345025
12/17/20 16:09,2020,AGGRAVATED ASSAULT,10200 JUDY LN,72209,34.657145,-92.348115
12/16/20 13:55,2020,ROBBERY,1801  LABETTE MANOR DR 7,72205,34.736946,-92.37613
12/18/20 0:47,2020,AGGRAVATED ASSAULT,1102 S WOODROW ST APT A,72204,34.740616,-92.305986
12/20/20 13:40,2020,ROBBERY,2419 S SCHILLER ST,72206,34.725519,-92.29633
11/30/20 0:00,2020,AGGRAVATED ASSAULT,14 CLEMENT DR,72209,34.682507,-92.326372
11/30/20 21:19,2020,AGGRAVATED ASSAULT,4407 W 12TH ST,72204,34.740422,-92.323096
12/15/20 15:10,2020,AGGRAVATED ASSAULT,3601 W ROOSEVELT RD,72204,34.725369,-92.313327
12/17/20 18:37,2020,BURGLARY/B&E,9500 S HEIGHTS RD,72209,34.664971,-92.331131
12/18/20 7:04,2020,BURGLARY/B&E,319 W 2ND ST,72201,34.747378,-92.273699
12/18/20 14:02,2020,AGGRAVATED ASSAULT,9219  TIMBER VALLEY RD,72204,34.700143,-92.381165
12/15/20 16:37,2020,AGGRAVATED ASSAULT,900 W DAISY L GATSON BATES DR,72202,34.738339,-92.282831
12/19/20 12:15,2020,BURGLARY/B&E,66  HILL LN,72209,34.698952,-92.334323
12/20/20 11:02,2020,BURGLARY/B&E,1101 W MARKHAM ST,72201,34.749552,-92.282501
12/17/20 11:55,2020,BURGLARY/B&E,4821 S UNIVERSITY AVE,72204,34.705559,-92.34348
12/20/20 17:39,2020,AGGRAVATED ASSAULT,3608  BOWERS ST,72204,34.720485,-92.378731
12/14/20 17:16,2020,BURGLARY/B&E,6300  COLONEL GLENN RD,72204,34.718012,-92.344703
12/18/20 10:08,2020,BURGLARY/B&E,1  NANDINA CIR,72210,34.652951,-92.431532
11/5/20 13:42,2020,AGGRAVATED ASSAULT,1901 WRIGHT AVE,72202,34.731958,-92.294258
12/15/20 3:38,2020,BURGLARY/B&E,11614  CHIPWOOD DR,72211,34.752111,-92.402622
11/30/20 0:00,2020,AGGRAVATED ASSAULT,6815  FORBING RD,72209,34.683758,-92.353375
12/12/20 12:14,2020,BURGLARY/B&E,1705 E 20TH ST,72202,34.727888,-92.251804
12/17/20 18:42,2020,AGGRAVATED ASSAULT,55  ROSEMOOR DR,72209,34.70181,-92.327988
12/19/20 12:55,2020,AGGRAVATED ASSAULT,7501  EMBER LN,72209,34.667065,-92.35237
12/19/20 19:57,2020,AGGRAVATED ASSAULT,4810  TERRA VISTA CIR,72209,34.693262,-92.331304
12/15/20 11:01,2020,ROBBERY,7201  COLONEL GLENN RD,72209,34.673272,-92.321902
12/17/20 10:56,2020,AGGRAVATED ASSAULT,1601 N SHACKLEFORD RD,72204,34.722993,-92.342541
11/30/20 0:00,2020,AGGRAVATED ASSAULT,6815  FORBING RD,72209,34.683758,-92.353375
11/30/20 0:00,2020,AGGRAVATED ASSAULT,14 CLEMENT DR,72209,34.682507,-92.326372
12/17/20 16:09,2020,AGGRAVATED ASSAULT,10200 JUDY LN,72209,34.657145,-92.348115
12/21/20 20:15,2020,AGGRAVATED ASSAULT,606  RIDGEWAY DR,72205,34.757054,-92.313756
12/14/20 7:45,2020,AGGRAVATED ASSAULT,5813 BASELINE RD,72209,34.668466,-92.341959
12/17/20 10:45,2020,BURGLARY/B&E,1701 SECURITY AVE,72202,34.730405,-92.251704
12/18/20 14:02,2020,AGGRAVATED ASSAULT,9219  TIMBER VALLEY RD,72204,34.700143,-92.381165
12/18/20 18:41,2020,AGGRAVATED ASSAULT,3409  WYNNE ST,72204,34.721738,-92.361841
